enzyme,ratio,rationale,n_numerator,n_denominator,mean_log2_normal,mean_log2_overweight,log2FC,log2FC_CI_lo,log2FC_CI_hi,fold_change_linear,direction,p_ols_hc3,q_ols_hc3_bh,p_wilcoxon,q_wilcox_bh
COX,total_PG_AA / AA,AA 系 COX 总通量,8,1,-6.7972,-6.5998,0.213,-0.0166,0.4427,1.1591,↑,0.069078,0.260243,0.215528,0.509314
COX,PGE1 / PGE2,DGLA vs AA COX 偏移 (PGE1 抗炎 vs PGE2 促炎),1,1,-2.5188,-2.3918,0.1432,-0.176,0.4623,1.1043,↑,0.379243,0.417167,0.508988,0.622096
LOX,12-HETE / AA,纯 12-LOX 通量 (AA 系),1,1,-5.2112,-4.8899,0.3754,-0.063,0.8139,1.2972,↑,0.093271,0.260243,0.158401,0.509314
LOX,15-HETE / AA,纯 15-LOX 通量 (AA 系),1,1,-9.2612,-9.065,0.2063,-0.0356,0.4481,1.1537,↑,0.094634,0.260243,0.409337,0.562838
LOX,12-HEPE / EPA,12-LOX 通量 (EPA 系),1,1,-8.2825,-8.0618,0.28,-0.1306,0.6907,1.2142,↑,0.181387,0.332543,0.3117,0.509314
CYP,20-HDoHE / DHA,"CYP4 ω-3 羟化通量 (DHA 系, 严格版)",1,1,-8.9645,-8.5696,0.4294,0.1141,0.7447,1.3467,↑,0.007611,0.083721,0.020063,0.220693
sEH,"8,9-DiHETrE / 8,9-EpETrE","sEH 8,9 位 (AA 通路)",1,1,-2.2752,-2.4422,-0.1445,-0.3431,0.054,0.9047,↓,0.153706,0.332543,0.125717,0.509314
sEH,"11,12-DiHETrE / 11,12-EpETrE","sEH 11,12 位 (AA 通路)",1,1,-3.0786,-3.1021,-0.001,-0.2062,0.2042,0.9993,↓,0.992209,0.992209,0.995621,0.995621
sEH,"9,10-DiHOME / 9,10-EpOME","sEH 9,10 位 (LA 通路)",1,1,-2.6471,-2.8388,-0.1588,-0.478,0.1604,0.8958,↓,0.329469,0.417167,0.91695,0.995621
sEH,"12,13-DiHOME / 12,13-EpOME","sEH 12,13 位 (LA 通路)",1,1,-1.5379,-2.1045,-0.3785,-1.0924,0.3353,0.7692,↓,0.298681,0.417167,0.324109,0.509314
sEH,"19,20-DiHDPA / 19,20-EpDPA","sEH 19,20 位 (DPA 通路)",1,1,-1.5227,-1.4095,0.1811,-0.212,0.5741,1.1337,↑,0.366647,0.417167,0.309954,0.509314
