track,dimension,gene_set,set_size_K,candidates_in_set_k,total_candidates_M,background_N,expected_k,enrichment_ratio,p_hypergeom,candidates_hit,q_bh
80,enzyme,12-LOX via HpETE,1,1,2,67,0.03,33.5,0.029851,"12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid",0.343286
80,enzyme,CYP4 (ω-3),1,1,2,67,0.03,33.5,0.029851,"20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid",0.343286
80,enzyme,11R-LOX/Auto-ox,1,0,2,67,0.03,0.0,1.0,,1.0
80,enzyme,12-LOX,2,0,2,67,0.06,0.0,1.0,,1.0
80,enzyme,12-LOX (maresin前体),1,0,2,67,0.03,0.0,1.0,,1.0
80,enzyme,13-LOX/Auto-ox,2,0,2,67,0.06,0.0,1.0,,1.0
80,enzyme,13-PGR/Auto-ox,2,0,2,67,0.06,0.0,1.0,,1.0
80,enzyme,15-LOX,4,0,2,67,0.119,0.0,1.0,,1.0
80,enzyme,8-LOX/Auto-ox,1,0,2,67,0.03,0.0,1.0,,1.0
80,enzyme,8-LOX/Auto-ox via HpETE,1,0,2,67,0.03,0.0,1.0,,1.0
80,enzyme,9-LOX/Auto-ox,1,0,2,67,0.03,0.0,1.0,,1.0
80,enzyme,COX,5,0,2,67,0.149,0.0,1.0,,1.0
80,enzyme,COX/15-PGDH,7,0,2,67,0.209,0.0,1.0,,1.0
80,enzyme,COX/PGD-syn,5,0,2,67,0.149,0.0,1.0,,1.0
80,enzyme,COX/PGE-syn,2,0,2,67,0.06,0.0,1.0,,1.0
80,enzyme,COX/PGF-syn,1,0,2,67,0.03,0.0,1.0,,1.0
80,enzyme,COX/PGIS/15-PGDH,1,0,2,67,0.03,0.0,1.0,,1.0
80,enzyme,COX/TXA-syn,3,0,2,67,0.09,0.0,1.0,,1.0
80,enzyme,CYP-Epo,5,0,2,67,0.149,0.0,1.0,,1.0
80,enzyme,CYP4,2,0,2,67,0.06,0.0,1.0,,1.0
80,enzyme,NAPE-PLD,2,0,2,67,0.06,0.0,1.0,,1.0
80,enzyme,Non-enzymatic (radical),5,0,2,67,0.149,0.0,1.0,,1.0
80,enzyme,sEH,7,0,2,67,0.209,0.0,1.0,,1.0
80,family_main,AA-LOX,8,1,2,67,0.239,4.188,0.226142,"12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid",1.0
80,family_main,ω-3 PUFA oxylipins,13,1,2,67,0.388,2.577,0.352782,"20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid",1.0
80,family_main,AA-COX,22,0,2,67,0.657,0.0,1.0,,1.0
80,family_main,AA-CYP/sEH,8,0,2,67,0.239,0.0,1.0,,1.0
80,family_main,Endocannabinoid,2,0,2,67,0.06,0.0,1.0,,1.0
80,family_main,Free PUFA,5,0,2,67,0.149,0.0,1.0,,1.0
80,family_main,LA-oxylipin,9,0,2,67,0.269,0.0,1.0,,1.0
80,substrate,AA→ETrE,2,1,2,67,0.06,16.75,0.059249,"12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid",0.651739
80,substrate,DHA,7,1,2,67,0.209,4.786,0.199457,"20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid",1.0
80,substrate,20:2,1,0,2,67,0.03,0.0,1.0,,1.0
80,substrate,AA,30,0,2,67,0.896,0.0,1.0,,1.0
80,substrate,ALA,1,0,2,67,0.03,0.0,1.0,,1.0
80,substrate,AdrA,1,0,2,67,0.03,0.0,1.0,,1.0
80,substrate,DGLA,6,0,2,67,0.179,0.0,1.0,,1.0
80,substrate,DPA,2,0,2,67,0.06,0.0,1.0,,1.0
80,substrate,EPA,4,0,2,67,0.119,0.0,1.0,,1.0
80,substrate,LA,12,0,2,67,0.358,0.0,1.0,,1.0
80,substrate,tLA,1,0,2,67,0.03,0.0,1.0,,1.0
50,enzyme,12-LOX via HpETE,1,1,4,73,0.055,18.25,0.054795,"12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid",0.456625
50,enzyme,COX/PGIS/15-PGDH,1,1,4,73,0.055,18.25,0.054795,"6,15-Diketo-13,14-dihydro-prostaglandin F1α",0.456625
50,enzyme,CYP4 (ω-3),1,1,4,73,0.055,18.25,0.054795,"20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid",0.456625
50,enzyme,sEH,7,1,4,73,0.384,2.607,0.337835,"5,6-DiHydroxy-8Z,11Z,14Z-eicosatrienoic acid",1.0
50,enzyme,11R-LOX/Auto-ox,2,0,4,73,0.11,0.0,1.0,,1.0
50,enzyme,12-LOX,2,0,4,73,0.11,0.0,1.0,,1.0
50,enzyme,12-LOX (maresin前体),1,0,4,73,0.055,0.0,1.0,,1.0
50,enzyme,13-LOX/Auto-ox,2,0,4,73,0.11,0.0,1.0,,1.0
50,enzyme,13-PGR/Auto-ox,2,0,4,73,0.11,0.0,1.0,,1.0
50,enzyme,15-LOX,4,0,4,73,0.219,0.0,1.0,,1.0
50,enzyme,5-LOX/LTA4-H,1,0,4,73,0.055,0.0,1.0,,1.0
50,enzyme,5-LOX/LTC4-syn,1,0,4,73,0.055,0.0,1.0,,1.0
50,enzyme,8-LOX/Auto-ox,1,0,4,73,0.055,0.0,1.0,,1.0
50,enzyme,8-LOX/Auto-ox via HpETE,1,0,4,73,0.055,0.0,1.0,,1.0
50,enzyme,9-LOX/Auto-ox,2,0,4,73,0.11,0.0,1.0,,1.0
50,enzyme,COX,5,0,4,73,0.274,0.0,1.0,,1.0
50,enzyme,COX/15-PGDH,8,0,4,73,0.438,0.0,1.0,,1.0
50,enzyme,COX/PGD-syn,5,0,4,73,0.274,0.0,1.0,,1.0
50,enzyme,COX/PGE-syn,2,0,4,73,0.11,0.0,1.0,,1.0
50,enzyme,COX/PGF-syn,1,0,4,73,0.055,0.0,1.0,,1.0
50,enzyme,COX/TXA-syn,3,0,4,73,0.164,0.0,1.0,,1.0
50,enzyme,CYP-Epo,5,0,4,73,0.274,0.0,1.0,,1.0
50,enzyme,CYP4,2,0,4,73,0.11,0.0,1.0,,1.0
50,enzyme,NAPE-PLD,2,0,4,73,0.11,0.0,1.0,,1.0
50,enzyme,Non-enzymatic (radical),6,0,4,73,0.329,0.0,1.0,,1.0
50,family_main,AA-CYP/sEH,8,1,4,73,0.438,2.281,0.377966,"5,6-DiHydroxy-8Z,11Z,14Z-eicosatrienoic acid",1.0
50,family_main,AA-LOX,10,1,4,73,0.548,1.825,0.45273,"12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid",1.0
50,family_main,ω-3 PUFA oxylipins,15,1,4,73,0.822,1.217,0.6102,"20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid",1.0
50,family_main,AA-COX,23,1,4,73,1.26,0.793,0.788411,"6,15-Diketo-13,14-dihydro-prostaglandin F1α",1.0
50,family_main,Endocannabinoid,2,0,4,73,0.11,0.0,1.0,,1.0
50,family_main,Free PUFA,5,0,4,73,0.274,0.0,1.0,,1.0
50,family_main,LA-oxylipin,10,0,4,73,0.548,0.0,1.0,,1.0
50,substrate,AA→ETrE,2,1,4,73,0.11,9.125,0.107306,"12-Hydroxy-8Z,10E,14Z-eicosatrienoic acid",1.0
50,substrate,DHA,8,1,4,73,0.438,2.281,0.377966,"20-Hydroxy-4Z,7Z,10Z,13Z,16Z,18E-docosahexaenoic acid",1.0
50,substrate,AA,32,2,4,73,1.753,1.141,0.593552,"5,6-DiHydroxy-8Z,11Z,14Z-eicosatrienoic acid; 6,15-Diketo-13,14-dihydro-prostaglandin F1α",1.0
50,substrate,20:2,1,0,4,73,0.055,0.0,1.0,,1.0
50,substrate,ALA,1,0,4,73,0.055,0.0,1.0,,1.0
50,substrate,AdrA,1,0,4,73,0.055,0.0,1.0,,1.0
50,substrate,DGLA,7,0,4,73,0.384,0.0,1.0,,1.0
50,substrate,DPA,2,0,4,73,0.11,0.0,1.0,,1.0
50,substrate,EPA,5,0,4,73,0.274,0.0,1.0,,1.0
50,substrate,LA,13,0,4,73,0.712,0.0,1.0,,1.0
50,substrate,tLA,1,0,4,73,0.055,0.0,1.0,,1.0
